"RefDes","Pin","Component","Net"
"U1","0","U1","DEBUG_TX"
"U1","1","U1","DEBUG_RX"
"U1","8","U1","WIFI_TX"
"U1","9","U1","WIFI_RX"
"U1","16","U1","SPI_SCK"
"U1","18","U1","SPI_MISO"
"U1","19","U1","SPI_MOSI"
"U1","17","U1","LORA_CS"
"U1","20","U1","SD_CS"
"U1","21","U1","LORA_RST"
"U1","22","U1","LORA_DIO0"
"U1","10","U1","WIFI_LED"
"U1","11","U1","LORA_LED"
"U1","12","U1","SD_LED"
"U2","1","ESP8266","WIFI_TX"
"U2","2","ESP8266","WIFI_RX"
"U3","1","RFM95W","SPI_SCK"
"U3","2","RFM95W","SPI_MISO"
"U3","3","RFM95W","SPI_MOSI"
"U3","4","RFM95W","LORA_CS"
"U3","5","RFM95W","LORA_RST"
"U3","6","RFM95W","LORA_DIO0"
"U4","1","SD_CARD","SPI_SCK"
"U4","2","SD_CARD","SPI_MISO"
"U4","3","SD_CARD","SPI_MOSI"
"U4","4","SD_CARD","SD_CS"
"D1","1","LED","WIFI_LED"
"D2","1","LED","LORA_LED"
"D3","1","LED","SD_LED"
